returns=[242776.0, 240874.0, 222991.0, 208154.0, 236008.0, 197132.0, 227227.0, 248803.0, 203905.0, 210488.0, 203890.0, 211452.0, 192309.0, 198171.0, 199127.0, 186067.0, 188494.0, 195686.0, 204468.0, 183758.0]
totalSteps=[2433, 2518, 2482, 2162, 2156, 1812, 2049, 2095, 2118, 2197, 2052, 2207, 2238, 2295, 2655, 3740, 3768, 3726, 3618, 5224]
validActions=[353, 352, 352, 353, 354, 355, 354, 355, 354, 354, 354, 354, 356, 353, 357, 356, 352, 354, 357, 357]
totalTime=[141564, 135684, 128952, 123108, 141144, 117840, 135168, 138216, 124548, 127584, 117732, 125724, 118224, 114264, 117072, 114072, 117504, 120132, 123144, 113616]
returnsEvaluation=[245234.0, 249288.0, 243373.0, 251986.0, 256635.0, 244878.0, 235874.0, 251022.0, 270636.0, 242072.0, 240201.0, 230891.0, 249297.0, 241825.0, 238688.0, 242591.0, 210966.0, 232944.0, 249924.0, 271876.0]
totalStepsEvaluation=[2693, 2734, 2540, 2610, 2424, 2334, 2632, 2250, 2511, 2633, 2378, 2360, 2293, 2399, 2295, 2669, 2221, 2131, 2383, 2777]
validActionsEvaluation=[350, 350, 353, 352, 353, 350, 352, 350, 352, 352, 350, 350, 351, 352, 351, 351, 352, 355, 354, 352]
totalTimeEvaluation=[148080, 149532, 145032, 142692, 145392, 142692, 141984, 154500, 149952, 151392, 140832, 139092, 145932, 140244, 142188, 144540, 131964, 138744, 148644, 156528]
