returns=[245623.0, 237489.0, 248994.0, 239964.0, 243881.0, 242046.0, 249934.0, 238908.0, 257276.0, 233665.0, 241124.0, 256323.0, 256293.0, 236342.0, 220642.0, 233986.0, 257514.0, 255005.0, 240222.0, 254942.0]
totalSteps=[2330, 2179, 2539, 2434, 2409, 2564, 2451, 2718, 2452, 2491, 2382, 2450, 2195, 2601, 2301, 2571, 2472, 2362, 2067, 2649]
validActions=[352, 352, 351, 351, 350, 350, 354, 350, 351, 350, 353, 354, 352, 351, 353, 350, 353, 354, 356, 352]
totalTime=[141024, 143880, 146364, 143796, 144888, 142776, 145716, 138264, 150516, 143064, 141420, 150984, 144168, 141060, 135408, 141276, 148860, 145344, 137784, 149388]
returnsEvaluation=[235577.0, 255099.0, 249541.0, 264077.0, 235263.0, 221384.0, 251982.0, 253064.0, 234213.0, 245070.0, 232700.0, 244983.0, 243181.0, 240633.0, 235462.0, 224242.0, 238433.0, 256837.0, 267838.0, 256245.0]
totalStepsEvaluation=[2396, 2400, 2360, 2786, 2231, 2278, 2598, 2185, 2269, 2673, 2364, 2232, 2410, 2377, 2455, 2215, 2567, 2496, 2690, 2550]
validActionsEvaluation=[354, 355, 350, 350, 350, 353, 350, 354, 352, 352, 350, 352, 350, 350, 351, 351, 351, 352, 358, 353]
totalTimeEvaluation=[136824, 145284, 151176, 157164, 140940, 138180, 151944, 145008, 143184, 151572, 139968, 137220, 144264, 143556, 138096, 133956, 141912, 149076, 152460, 154512]
