returns=[261572.0, 261702.0, 252740.0, 231682.0, 229701.0, 255810.0, 249548.0, 254816.0, 267474.0, 256164.0, 232311.0, 255757.0, 249336.0, 221599.0, 233726.0, 240231.0, 235341.0, 247645.0, 225271.0, 254631.0, 238424.0, 252660.0, 259768.0, 265288.0, 223838.0, 250556.0, 231933.0, 229487.0, 228995.0, 233218.0, 221289.0, 253081.0, 246411.0, 256836.0, 252738.0, 222650.0, 244930.0, 236994.0, 251789.0, 242635.0, 230126.0, 218258.0, 237877.0, 233561.0, 220444.0, 229762.0, 230332.0, 229209.0, 223440.0, 236468.0, 227363.0, 230289.0, 228355.0, 229532.0, 208766.0, 234560.0, 227248.0, 223345.0, 225405.0, 208636.0, 227068.0, 216528.0, 234926.0, 242347.0, 232830.0, 230355.0, 225273.0, 219736.0, 213880.0, 217233.0, 204760.0, 221542.0, 228403.0, 207164.0, 218660.0, 228012.0, 215574.0, 210644.0, 235940.0, 208159.0, 212030.0, 231551.0, 222502.0, 222575.0, 226361.0, 219493.0, 196782.0, 204691.0, 231308.0, 219874.0, 204130.0, 214049.0, 216489.0, 232578.0, 245330.0, 232098.0, 202637.0, 211757.0, 215080.0, 216269.0]
totalSteps=[2909, 2738, 2293, 2355, 2437, 2364, 2606, 2290, 2568, 2614, 2336, 2199, 2251, 2210, 2141, 2445, 2393, 2424, 2245, 2331, 2378, 2188, 2190, 2472, 2327, 2084, 2470, 2249, 2157, 2151, 2183, 2181, 2080, 2221, 2206, 2067, 2243, 2026, 2137, 2205, 2221, 2097, 2125, 1926, 1991, 1996, 1892, 2030, 2146, 1969, 1753, 1878, 1947, 2057, 1845, 1924, 1890, 1763, 1818, 1958, 1942, 1818, 1999, 1933, 1930, 1795, 1790, 1932, 1754, 1659, 1702, 1939, 1842, 2049, 1818, 1709, 1864, 1787, 1812, 1914, 1673, 1631, 1814, 1650, 1648, 1689, 1968, 1868, 1867, 1920, 1886, 2341, 1822, 2036, 2100, 2136, 1673, 1611, 1996, 1752]
validActions=[350, 353, 352, 353, 354, 352, 352, 353, 354, 356, 352, 353, 354, 353, 353, 354, 352, 353, 350, 350, 354, 356, 353, 354, 353, 350, 351, 354, 352, 353, 352, 353, 353, 354, 356, 353, 354, 352, 355, 357, 350, 353, 353, 352, 350, 350, 354, 353, 353, 355, 354, 351, 355, 357, 350, 353, 354, 353, 351, 353, 353, 355, 351, 357, 354, 353, 354, 350, 355, 353, 352, 351, 353, 358, 353, 355, 353, 355, 353, 356, 353, 351, 354, 355, 355, 354, 352, 357, 353, 355, 352, 352, 355, 353, 356, 353, 356, 351, 354, 352]
totalTime=[156588, 154020, 149532, 133320, 138180, 146004, 147948, 141228, 157800, 154956, 138816, 156168, 152136, 134688, 135672, 140460, 136356, 147252, 137544, 144876, 139884, 144984, 147096, 146916, 134292, 145740, 142068, 137328, 130056, 135372, 131952, 139008, 140676, 144840, 138504, 132768, 141708, 136116, 143544, 137424, 134568, 125400, 136224, 134628, 129912, 130020, 132096, 135972, 129168, 133404, 129744, 134328, 135480, 130776, 122400, 131616, 131940, 125844, 132696, 125640, 131352, 124704, 134460, 132576, 132492, 135516, 133644, 127164, 120828, 126144, 119880, 129312, 131496, 118428, 124296, 125976, 127536, 120684, 131076, 123948, 123000, 131220, 127848, 123792, 125952, 125988, 118896, 118608, 131760, 125244, 118008, 126276, 123660, 133260, 138732, 129960, 117876, 120528, 124008, 117444]
returnsEvaluation=[251848.0, 248004.0, 255102.0, 249743.0, 261342.0, 252709.0, 246337.0, 252798.0, 252465.0, 255186.0, 252689.0, 256132.0, 256268.0, 238800.0, 240749.0, 246858.0, 233988.0, 265768.0, 227237.0, 251764.0, 247297.0, 249065.0, 238474.0, 268676.0, 236675.0, 246588.0, 238081.0, 255282.0, 267083.0, 256446.0, 236677.0, 240851.0, 265921.0, 241202.0, 223981.0, 245970.0, 239429.0, 240913.0, 243906.0, 237228.0, 255592.0, 236952.0, 245041.0, 259150.0, 264036.0, 257541.0, 261283.0, 235875.0, 273360.0, 255509.0, 256597.0, 272807.0, 254616.0, 254123.0, 269577.0, 243530.0, 246897.0, 242969.0, 254073.0, 235096.0, 268001.0, 225361.0, 254339.0, 229600.0, 252386.0, 235284.0, 246868.0, 238227.0, 248216.0, 256084.0, 261084.0, 234418.0, 233914.0, 237698.0, 244070.0, 249262.0, 241590.0, 240717.0, 254471.0, 259148.0, 248467.0, 240672.0, 221167.0, 239360.0, 245305.0, 254417.0, 244530.0, 231722.0, 238444.0, 226863.0, 255509.0, 250677.0, 245538.0, 271411.0, 254349.0, 241890.0, 245353.0, 261437.0, 248474.0, 255643.0]
totalStepsEvaluation=[2314, 2508, 2488, 2645, 2689, 2372, 2453, 2396, 2500, 2745, 2035, 2558, 2782, 2753, 2309, 2406, 2289, 2360, 2311, 2608, 2504, 2295, 2732, 2380, 2284, 2386, 2449, 2410, 2820, 2357, 2262, 2099, 2517, 2350, 2376, 2368, 2387, 2568, 2331, 2233, 2435, 2305, 2744, 2330, 2605, 2844, 2451, 2217, 2525, 2388, 2764, 2439, 2500, 2820, 2254, 2700, 2242, 2483, 2496, 2316, 2718, 2470, 2687, 2619, 2165, 2444, 2629, 2225, 2565, 2784, 2451, 2265, 2483, 2667, 2386, 2603, 2405, 2104, 2412, 2968, 2570, 2433, 2362, 2195, 2294, 2603, 2357, 2017, 2390, 2479, 2464, 2555, 2376, 2316, 2300, 2414, 2436, 2428, 2782, 2413]
validActionsEvaluation=[354, 352, 354, 354, 353, 350, 352, 350, 352, 353, 353, 350, 350, 351, 353, 353, 356, 351, 353, 350, 352, 355, 352, 357, 350, 355, 352, 354, 351, 351, 357, 350, 356, 354, 352, 350, 351, 353, 354, 354, 353, 354, 350, 352, 352, 353, 353, 352, 353, 350, 354, 354, 357, 352, 353, 353, 352, 351, 354, 350, 352, 351, 353, 350, 350, 353, 353, 350, 350, 350, 353, 352, 350, 353, 350, 350, 352, 350, 353, 350, 353, 354, 355, 351, 353, 351, 352, 350, 352, 353, 352, 353, 354, 353, 352, 355, 352, 355, 352, 350]
totalTimeEvaluation=[145056, 150840, 151764, 149268, 154944, 146928, 147348, 144660, 141492, 144252, 145068, 151608, 151008, 145284, 140292, 143964, 138336, 150228, 133176, 149472, 143652, 139800, 143532, 150000, 142824, 143784, 144264, 147792, 152160, 143292, 133716, 142836, 150864, 140772, 137304, 146244, 143160, 143784, 139524, 141216, 147192, 134328, 141936, 145128, 150216, 156552, 147576, 134400, 153564, 147144, 148320, 151812, 148332, 147372, 153096, 147468, 145896, 140280, 150180, 136428, 158700, 135732, 147372, 140700, 151296, 139044, 145476, 140052, 149004, 150732, 150924, 137364, 135744, 144864, 138000, 144132, 143172, 138864, 148932, 154836, 150960, 145308, 133104, 143604, 146604, 143472, 143772, 133272, 141960, 137844, 145248, 147168, 139200, 158496, 151644, 144444, 142164, 146664, 148080, 145464]
